; Class 9 roots.
; ------------------------------------------
; Conjugations shown in Deshpande,  Lesson 31
; ------------------------------------------
9,a,pre	krI	58088
9,a,ipf	krI	58088
9,a,ipv	krI	58088
9,a,opt	krI	58088
9,m,pre	krI	58088
9,m,ipf	krI	58088
9,m,ipv	krI	58088
9,m,opt	krI	58088
; Deshpande: "The root 'prI' (to please, love) (P & A) is conjugated exactly
; like the root 'krI' above."
9,a,pre	prI	140436
9,a,ipf	prI	140436
9,a,ipv	prI	140436
9,a,opt	prI	140436
9,m,pre	prI	140436
9,m,ipf	prI	140436
9,m,ipv	prI	140436
9,m,opt	prI	140436
9,a,pre	pU	127307
9,a,ipf	pU	127307
9,a,ipv	pU	127307
9,a,opt	pU	127307
9,m,pre	pU	127307
9,m,ipf	pU	127307
9,m,ipv	pU	127307
9,m,opt	pU	127307
; Deshpande: "The root 'lU' (to cut, pluck) (P & A) is conjugated exactly like
; 'pU' above. In both cases, the long 'U' of the root is shortened to 'u'."
9,a,pre	lU	183125
9,a,ipf	lU	183125
9,a,ipv	lU	183125
9,a,opt	lU	183125
9,m,pre	lU	183125
9,m,ipf	lU	183125
9,m,ipv	lU	183125
9,m,opt	lU	183125
; Deshpande: "The root 'DU' (to shake (trans)) (P & A) is conjugated the
; same way."  (i.e. like 'pU' and 'lU')
9,a,pre	DU	101481
9,a,ipf	DU	101481
9,a,ipv	DU	101481
9,a,opt	DU	101481
9,m,pre	DU	101481
9,m,ipf	DU	101481
9,m,ipv	DU	101481
9,m,opt	DU	101481
; Deshpande: "In the forms of the root 'jYA' (to know) (P & A), 'jYA' is 
; changed to 'jA', cf. 'jAnAti' / 'jAnIte'. With this change in place,
; the paradigms of 'jYA' are similar to those of 'pU' above."
9,a,pre	jYA	80318
9,a,ipf	jYA	80318
9,a,ipv	jYA	80318
9,a,opt	jYA	80318
9,m,pre	jYA	80318
9,m,ipf	jYA	80318
9,m,ipv	jYA	80318
9,m,opt	jYA	80318
9,a,pre	vf	203978,204040
9,a,ipf	vf	203978,204040
9,a,ipv	vf	203978,204040
9,a,opt	vf	203978,204040
9,m,pre	vf	203978,204040
9,m,ipf	vf	203978,204040
9,m,ipv	vf	203978,204040
9,m,opt	vf	203978,204040
9,a,pre	grah	68591
9,a,ipf	grah	68591
9,a,ipv	grah	68591
9,a,opt	grah	68591
9,m,pre	grah	68591
9,m,ipf	grah	68591
9,m,ipv	grah	68591
9,m,opt	grah	68591
9,a,pre	banD	142512
9,a,ipf	banD	142512
9,a,ipv	banD	142512
9,a,opt	banD	142512
; Deshpande spells root 'manT'
9,a,pre	maT	155187
9,a,ipf	maT	155187
9,a,ipv	maT	155187
9,a,opt	maT	155187
; Deshpande: "The root 'granT' (to arrange, put together) (P) is conjugated
; like the root 'manT' above, e.g., 'graTnAmi'"
9,a,pre	graT	68437
9,a,ipf	graT	68437
9,a,ipv	graT	68437
9,a,opt	graT	68437
; kliS (to tease, torment) (active) is not in inputs/verb_cp.txt
9,a,pre	kliS	58603
9,a,ipf	kliS	58603
9,a,ipv	kliS	58603
9,a,opt	kliS	58603
; aS (to eat, enjoy) (active) is not in inputs/verb_cp.txt
9,a,pre	aS	19416
9,a,ipf	aS	19416
9,a,ipv	aS	19416
9,a,opt	aS	19416
9,a,pre	muz	165859
9,a,ipf	muz	165859
9,a,ipv	muz	165859
9,a,opt	muz	165859
9,a,pre	puz	126760
9,a,ipf	puz	126760
9,a,ipv	puz	126760
9,a,opt	puz	126760
9,a,pre	stamB	254463
9,a,ipf	stamB	254463
9,a,ipv	stamB	254463
9,a,opt	stamB	254463
; ------------------------------------------
;  Other class 9 models from inputs/verb_cp.txt
; ------------------------------------------
;9,a,pre	inv	29294
;9,a,ipf	inv	29294
;9,a,ipv	inv	29294
;9,a,opt	inv	29294
;9,m,pre	inv	29294
;9,m,ipf	inv	29294
;9,m,ipv	inv	29294
;9,m,opt	inv	29294
;9,a,pre	uDras	33764,33765
;9,a,ipf	uDras	33764,33765
;9,a,ipv	uDras	33764,33765
;9,a,opt	uDras	33764,33765
;9,a,pre	uB	37051,37051.1
;9,a,ipf	uB	37051,37051.1
;9,a,ipv	uB	37051,37051.1
;9,a,opt	uB	37051,37051.1
;9,a,pre	uz	37688
;9,a,ipf	uz	37688
;9,a,ipv	uz	37688
;9,a,opt	uz	37688
;9,a,pre	kuz	53477
;9,a,ipf	kuz	53477
;9,a,ipv	kuz	53477
;9,a,opt	kuz	53477
;9,a,pre	kzi	59266,59272,59376
;9,a,ipf	kzi	59266,59272,59376
;9,a,ipv	kzi	59266,59272,59376
;9,a,opt	kzi	59266,59272,59376
;9,m,pre	kzi	59266,59272,59376
